,feature,importance,positive_effect
0,igmp,10.965204791272543,True
1,SrcBytes_bandwidth,5.207058536751973,True
2,tcp,-5.168204959680468,False
3,rtp,-5.120713873682714,False
4,rtcp,4.480406054622849,True
5,udp,-4.21173016085507,False
6,icmp,-3.32462523890794,False
7,srcBytes_per_Pkt,-2.6397019003558326,False
8,ipv6-icmp,2.5778815662309955,True
9,Pkts_bandwidth,1.4881282325239154,True
10,arp,1.418441684880419,True
11,Bytes_bandwidth,-1.248419297671242,False
12,Bytes_per_Pkt,1.2327298447795823,True
13,TotBytes,-0.5831936104834043,False
14,Dur,0.3593439494710414,True
15,SrcBytes,0.18586017837274904,True
16,TotPkts,0.17639333141521327,True
